rank,symbol,gene_name,pathway_class,final_rank_score,evidence_score,tcga_log2fc,gse40435_log2fc,gse53757_log2fc,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_fdr,main_ph_p_value,stage_complete_log_hr,grade_complete_log_hr,kidney_cell_type_sanity,literature_prior,manual_review_note,pubmed_ccrcc_query,interpretation_status
11,TMEM140,transmembrane protein 140,Immune,0.48618817979538087,6.832837784652118,1.3873551467780825,1.0434245526138617,1.3355910881908064,-0.4073424327415841,0.6654162909588421,0.5748103731873818,0.7703041923515904,4.415510186849692e-6,0.5361685228911856,-0.3985110645431239,-0.3269205459324186,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/?term=TMEM140%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
12,CLCN5,Cl-/H+ antiporter 5,Unclassified,0.4475184145894869,6.882179867317559,-1.4344904567828498,-0.7521511659009913,-1.7999564079798147,-0.4176541545204886,0.6585899594030037,0.5664515776071813,0.7657154676109622,4.710585633141151e-6,0.8247506220942223,-0.44203368937327303,-0.459375020714434,Renal proximal tubule/endocytic biology prior.,Strong kidney biology prior; ccRCC prognostic agreement needs review.,May mark retained normal tubule differentiation rather than aggressive tumor biology.,https://pubmed.ncbi.nlm.nih.gov/?term=CLCN5%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
13,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",Metabolism,0.4431623562031618,6.14963185108728,1.4554861719595853,0.41317265477887855,1.7192551968262653,0.4257531411377312,1.5307428510495755,1.2969294628206305,1.8067086477805248,1.8968273730796864e-5,0.45938014299413377,0.4523916244741637,0.522759531059695,Immune/lysosomal/proton-pump-associated signal; cell type unresolved.,"Immune/cancer literature likely, ccRCC specificity needs review.",Check immune-cell composition before tumor-cell interpretation.,https://pubmed.ncbi.nlm.nih.gov/?term=TCIRG1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
14,C1QTNF6,C1q and TNF related 6,Unclassified,0.3934036092409473,6.7553047224262235,2.326695021877266,0.2773809349306929,1.222159386398144,0.43509983532112984,1.5451173085341128,1.3213432727629684,1.8067882482495268,4.415510186849692e-6,0.12634156331541554,0.4565766856851785,0.4642935256848007,Secreted/metabolic-inflammatory signal; cell type unresolved.,Cancer literature likely; ccRCC-specific role needs review.,"Check immune, adipokine, and tumor-cell sources.",https://pubmed.ncbi.nlm.nih.gov/?term=C1QTNF6%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
15,TNIP1,TNFAIP3 interacting protein 1,Immune,0.37017098153289474,6.155957050955356,1.0467509822977,0.6735680433762375,0.29285205852519614,-0.414945866298316,0.6603760283363156,0.5668610973597337,0.7693180936784177,6.172755083068598e-6,0.196338897046363,-0.39440197510186903,-0.36515824973066585,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/?term=TNIP1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
16,CADPS2,calcium dependent secretion activator 2,Unclassified,0.3503656551133554,6.622703495304001,-1.6281903545786902,-0.4524209350594058,-1.2857683261208852,-0.41010601450174866,0.6635798973149913,0.5719974046469152,0.7698256609964659,4.925349015628294e-6,0.4780768221578261,-0.42509189426389193,-0.40412892350631446,Vesicle/secretion-related signal; not kidney-cell-type specific here.,ccRCC literature requires manual confirmation.,Lower-confidence biology unless supported externally.,https://pubmed.ncbi.nlm.nih.gov/?term=CADPS2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
17,PODXL,podocalyxin like,Unclassified,0.3434673085504991,6.3239787049017995,-1.368538589150184,-0.4851630748250821,-1.2562460577918564,-0.41295393620776416,0.6616927622037673,0.56698031580525,0.7722266529324141,8.773091522225725e-6,0.3994800387810609,-0.4249013519786907,-0.4327660692927539,Podocyte/endothelial/cell-adhesion signal.,Cancer invasion literature likely; kidney compartment matters.,Cell-type sanity flag: glomerular/endothelial biology may confound bulk signal.,https://pubmed.ncbi.nlm.nih.gov/?term=PODXL%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
18,KNTC1,kinetochore associated 1,Unclassified,0.33875323671728363,6.607724426535875,1.15604029023953,0.6099497364752481,1.112857677034536,0.41317926152804135,1.5116159762374974,1.3040485850216854,1.7522221839445078,4.08255487434012e-6,0.6471389094840807,0.4050758691100193,0.4744295201707827,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/?term=KNTC1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
19,LRBA,LPS responsive beige-like anchor protein,Unclassified,0.3051238682446831,5.907913064148,-1.250798957117597,-0.33383036391089144,-0.7159572724128622,-0.42337150345977026,0.6548353143328662,0.5569838044772544,0.769877481985089,1.304810499897916e-5,0.3720772639550102,-0.4290871666379401,-0.4989753296913121,Immune-regulatory signal.,Immune literature strong; ccRCC-specific direction needs review.,Likely immune-composition sensitivity.,https://pubmed.ncbi.nlm.nih.gov/?term=LRBA%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
20,LTB4R,leukotriene B4 receptor,Unclassified,0.3010752086984204,6.0039094823189965,2.5859607018151056,0.29751279978217837,1.037832061672287,0.4152348937982004,1.51472649876826,1.2854153332917455,1.7849455398942262,2.3639185338214345e-5,0.02855283755200092,0.4119666771997216,0.4478818914281634,Leukotriene-receptor inflammatory signal with renal epithelial and immune expression.,Inflammatory signaling is biologically plausible; ccRCC-specific cell source needs review.,Treat as a composition-sensitive risk association and report the non-proportional-hazards diagnostic.,https://pubmed.ncbi.nlm.nih.gov/?term=LTB4R%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
21,TNFAIP2,TNF alpha induced protein 2,Immune,0.275,4.82078545869631,1.2899352747304058,0.3522865337029721,0.43736887473448943,0.42728551519013547,1.533090319816186,1.2711470564855143,1.849011817100392,1.3418549757050055e-4,0.7479525657773048,0.43570679960393177,0.4157899829080451,TNF/inflammatory-response signal.,Inflammation/cancer literature likely; ccRCC specificity needs review.,Interpret as immune/inflammatory until cell source is resolved.,https://pubmed.ncbi.nlm.nih.gov/?term=TNFAIP2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
22,IFFO1,intermediate filament family orphan 1,Unclassified,0.2689312573970531,5.5629129123662455,1.7787928189403293,0.415958444975248,0.8862488549559129,0.4086497996244981,1.504784652050967,1.2733964721982216,1.7782182521200418,4.320803847783538e-5,0.2786771755480993,0.4141733461290005,0.4702784999415414,Poorly resolved structural/nuclear signal.,ccRCC literature likely sparse.,Keep as computational association unless external evidence appears.,https://pubmed.ncbi.nlm.nih.gov/?term=IFFO1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
23,GRAMD1A,GRAM domain containing 1A,Unclassified,0.24298121127923786,5.588370445744374,1.3173645507784109,0.9135191420990116,0.571925550758587,0.4057580580941821,1.500439489350083,1.2729667057699907,1.7685605216511633,3.76711391744721e-5,0.5509716961738,0.43203826769781506,0.435955073965395,Cholesterol transport/contact-site biology; cell type unresolved.,ccRCC literature requires manual confirmation.,Review with lipid/metabolic adaptation lens.,https://pubmed.ncbi.nlm.nih.gov/?term=GRAMD1A%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
