symbol,manual_tier,external_present,external_n,external_events,external_log_hr,external_hr,external_hr_ci_low,external_hr_ci_high,external_p_value,external_ph_p_value,external_adjusted_log_hr,external_adjusted_p_value,external_adjusted_ph_p_value,external_same_direction,external_adjusted_same_direction,external_fdr,external_adjusted_fdr,external_directional_nominal_support,external_adjusted_directional_nominal_support,external_strict_support,external_interpretation,main_log_hr,main_hr,main_fdr,manuscript_role,survival_direction,tumor_direction
RBM47,interpret cautiously,TRUE,101,23,-0.40572733832828306,0.6664918694394802,0.43738383021841315,1.0156100462312714,0.0590407243620812,0.010040146601765788,-0.4770816225438799,0.03209496725349528,0.01752267241272824,TRUE,TRUE,0.09594117708838196,0.05960493918506267,FALSE,TRUE,FALSE,same direction but not nominally significant,-0.4090358003875217,0.6642904500409734,1.111258058437699e-7,RNA-binding and immune-composition-sensitive association,higher expression associated with lower hazard,lower in tumor
HHLA2,interpret cautiously,TRUE,101,23,-0.3351974219437983,0.7151968768564645,0.4933457112527407,1.0368116332994661,0.07686654951297539,0.6653182274778555,-0.387813590313298,0.051510525815967885,0.8256087432518371,TRUE,TRUE,0.11756060513749177,0.08370460445094781,FALSE,FALSE,FALSE,same direction but not nominally significant,-0.46871237804694216,0.6258075532641013,6.325570278773336e-8,immune-checkpoint paradox,higher expression associated with lower hazard,higher in tumor
C1QTNF6,interpret cautiously,TRUE,101,23,0.2833680281921315,1.3275936638163692,0.877822590220367,2.0078145126829265,0.17941251122218999,0.08686910640844685,0.2845060721889992,0.18793142206466362,0.13165132277052302,TRUE,TRUE,0.233236264588847,0.25716931440427654,FALSE,FALSE,FALSE,same direction but not nominally significant,0.4485051545354674,1.5659695525060933,3.6206769395190815e-6,secreted inflammatory/metabolic risk,higher expression associated with higher hazard,higher in tumor
GRAMD1A,interpret cautiously,TRUE,101,23,0.22893550358398912,1.257260947569705,0.8102918555029216,1.950784867882919,0.3070562148778434,0.29586855247726596,-0.04855393084205317,0.8302751612126145,0.39824435443214906,TRUE,FALSE,0.36288461758290586,0.8994647579803323,FALSE,FALSE,FALSE,same direction but not nominally significant,0.43806916847653543,1.5497120949371428,2.6006851652043706e-5,cholesterol-contact-site biology,higher expression associated with higher hazard,higher in tumor
IQGAP2,interpret cautiously,TRUE,101,23,0.1321317824721182,1.1412587072515352,0.7977137063174533,1.6327554943115419,0.46961080109368647,0.22868362374627596,0.022599044702890914,0.9118376231210716,0.2548128812793924,FALSE,FALSE,0.5087450345181603,0.9118376231210716,FALSE,FALSE,FALSE,not externally supported in this cohort,-0.4156362728911144,0.6599202577242479,2.208259125360421e-7,cytoskeletal scaffold signal,higher expression associated with lower hazard,lower in tumor
CYFIP2,interpret cautiously,FALSE,101,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,not mapped in E-MTAB-1980,-0.44123008987349144,0.6432446854562286,1.548251277994415e-8,cytoskeletal and broad tumor-suppressor-like signal,higher expression associated with lower hazard,lower in tumor
TEK,composition flag,TRUE,101,23,-0.9562532603070819,0.38433017684511,0.26216801711872123,0.5634161117635645,9.597520854581854e-7,0.604407738786727,-0.7704597361812267,1.3600786495701134e-4,0.6308315853050437,TRUE,TRUE,2.495355422191282e-5,0.003536204488882295,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment; proportional-hazards results reported diagnostically,-0.4058770649337851,0.6663920853446277,3.6206769395190815e-6,endothelial/vascular composition,higher expression associated with lower hazard,lower in tumor
EMCN,composition flag,TRUE,101,23,-0.8185287951652717,0.4410800965640616,0.30869815025619746,0.6302326444894404,6.939624675601294e-6,0.6879224625747962,-0.66020878796522,4.5288510965500755e-4,0.7187899158570493,TRUE,TRUE,9.021512078281682e-5,0.005887506425515098,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment; proportional-hazards results reported diagnostically,-0.40596911923027346,0.6663307439134403,6.382185929528875e-6,endothelial/vascular composition,higher expression associated with lower hazard,lower in tumor
PODXL,composition flag,TRUE,101,23,-0.7327433557986237,0.48058875403445717,0.345606303968299,0.6682909074644006,1.3259537899993037e-5,0.6309235172073245,-0.5211127431539806,0.002725023871456325,0.6030340485445774,TRUE,TRUE,1.1491599513327298e-4,0.01417012413157289,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment; proportional-hazards results reported diagnostically,-0.40933662500657014,0.6640906451740206,1.0848807929942788e-5,podocyte/endothelial/renal compartment signal,higher expression associated with lower hazard,lower in tumor
LTB4R,composition flag,TRUE,101,23,0.32504800777152887,1.3840970918027378,0.8853540160490385,2.1637951879247894,0.15391796583247805,0.8425424379616409,0.341683362546707,0.13271120314579327,0.9653221520865443,TRUE,TRUE,0.21062458482339103,0.19169396009947917,FALSE,FALSE,FALSE,same direction but not nominally significant,0.4178160043117369,1.5186412252568435,1.8182304837149487e-5,inflammatory and renal-compartment association,higher expression associated with higher hazard,higher in tumor
FHOD1,composition flag,TRUE,101,23,-0.14233498755005455,0.8673306628421724,0.5942254767130233,1.2659546050893098,0.4606939674840723,0.014016819608995243,-0.029892764408336863,0.8685564966572022,0.041964185128305236,FALSE,FALSE,0.5087450345181603,0.9032987565234903,FALSE,FALSE,FALSE,not externally supported in this cohort,0.41652762820698513,1.51668590405556,1.7008252555997155e-4,stromal/EMT and actin-remodeling signal,higher expression associated with higher hazard,higher in tumor
FUT6,do not highlight,TRUE,101,23,-0.6016027361079526,0.5479327403754852,0.37879353748589245,0.792596119691114,0.0014029151371128586,0.46080491292411596,-0.6769923940764294,0.0015126955286492137,0.8649081630263485,TRUE,TRUE,0.004559474195616791,0.009832520936219889,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment; proportional-hazards results reported diagnostically,-0.4058860669942024,0.6663860864698149,6.134613920623346e-6,weak and directionally fragile glycosylation signal,higher expression associated with lower hazard,lower in tumor
HIBCH,do not highlight,TRUE,101,23,-0.6370928957855956,0.5288275483732688,0.32299713843376265,0.8658236951403576,0.011318115540942949,0.08325980131562728,-0.5977021797910783,0.015618453356419662,0.26993986015231153,TRUE,TRUE,0.024522583672043054,0.03691634429699193,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment; proportional-hazards results reported diagnostically,-0.4145921448859503,0.6606096587953632,4.2894254213515614e-5,plausible but under-validated metabolic signal,higher expression associated with lower hazard,lower in tumor
LRBA,do not highlight,TRUE,101,23,-0.3584281640198857,0.6987738211379784,0.44669785179679333,1.0930987268993995,0.11640569006726373,0.19249914755282888,-0.08564166639101205,0.685881107673924,0.2755791048829278,TRUE,TRUE,0.16814155231938094,0.8105867636146374,FALSE,FALSE,FALSE,same direction but not nominally significant,-0.4531098301322976,0.635648316453779,9.711908478855394e-6,immune-composition signal,higher expression associated with lower hazard,lower in tumor
CADPS2,do not highlight,TRUE,101,23,-0.28474986809950903,0.7522023806012231,0.4835185264276415,1.1701897454943138,0.20662182737090087,0.6622272954757719,-0.21489170404291574,0.2896294963360029,0.8638718815754631,TRUE,TRUE,0.2558175005544487,0.3765183452368038,FALSE,FALSE,FALSE,same direction but not nominally significant,-0.4246365505457781,0.6540074405866965,4.285349911211798e-6,weak ccRCC-specific biological support,higher expression associated with lower hazard,lower in tumor
IFFO1,do not highlight,TRUE,101,23,0.0938524804636526,1.0983976988456545,0.7213672031017639,1.6724873263460942,0.6617548633114153,0.009335949497279693,0.06057843032037834,0.7849197159846985,0.025703326972247552,TRUE,TRUE,0.6882250578438719,0.8873005485044416,FALSE,FALSE,FALSE,same direction but not nominally significant,0.4205016741985371,1.5227252760156444,3.318872671134807e-5,weak ccRCC-specific biological support,higher expression associated with higher hazard,higher in tumor
TNFAIP2,do not highlight,TRUE,101,23,-0.009783479846663007,0.9902642226999093,0.6502057276547222,1.5081737810839382,0.9636439913118369,0.19990012608543034,0.17238594778902946,0.4488124500533212,0.2348459089283937,FALSE,TRUE,0.9636439913118369,0.5556725572088739,FALSE,FALSE,FALSE,not externally supported in this cohort,0.4305901648197023,1.5381650266193556,1.2158128765757106e-4,non-specific inflammatory signal,higher expression associated with higher hazard,higher in tumor
